epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,6395.82,0.79116,1.07932,1.1669,0.9038,0.88574,0.94253,0.85763,0.52411,0.56857,0.99081,0.00695575,0.00695575,0.00695575
125,6449.24,0.79049,1.11762,1.16986,0.91696,0.89824,0.94529,0.85241,0.50862,0.54222,0.99352,0.006931,0.006931,0.006931
126,6501.73,0.77371,1.08419,1.16229,0.88357,0.88459,0.94649,0.85459,0.51638,0.56952,1.00244,0.00690625,0.00690625,0.00690625
127,6554.15,0.7758,1.07928,1.16352,0.87319,0.9118,0.9536,0.86305,0.53634,0.54741,1.01933,0.0068815,0.0068815,0.0068815
128,6606.84,0.77922,1.05049,1.15716,0.8787,0.89757,0.93899,0.85099,0.51039,0.56841,0.97966,0.00685675,0.00685675,0.00685675
129,6658.88,0.78523,1.07214,1.16164,0.86565,0.88697,0.94912,0.85916,0.51848,0.60444,0.99564,0.006832,0.006832,0.006832
130,6710.53,0.77034,1.06592,1.14782,0.87662,0.89889,0.94986,0.85679,0.51171,0.58111,0.9809,0.00680725,0.00680725,0.00680725
131,6763.65,0.77352,1.10763,1.15821,0.90377,0.87732,0.94911,0.86203,0.5209,0.56765,0.99118,0.0067825,0.0067825,0.0067825
132,6817.16,0.7772,1.09411,1.15638,0.91604,0.87258,0.95379,0.87246,0.51414,0.51243,0.98724,0.00675775,0.00675775,0.00675775
133,6868.98,0.77055,1.08346,1.15827,0.8934,0.88022,0.93857,0.85505,0.49903,0.54049,0.97354,0.006733,0.006733,0.006733
134,6923.83,0.76847,1.05288,1.15443,0.87862,0.89191,0.93613,0.85367,0.50018,0.54543,0.97019,0.00670825,0.00670825,0.00670825
135,6976.31,0.77636,1.0694,1.15275,0.91249,0.87038,0.94052,0.86734,0.48118,0.54846,0.96217,0.0066835,0.0066835,0.0066835
